Tue Nov 04 04:52:46 +0000 2014,@baileyaldrich,Bill Murray may simply have impulse control issues.,
Tue Nov 04 04:52:37 +0000 2014,@twitqoutes,Qoutes For All Bill Murray: We came, we saw, we kicked its ass!  http://t.co/J1AmtULcnI,
Tue Nov 04 04:51:48 +0000 2014,@stimul8ingreads,#BillMurray #ChiveOn  http://t.co/Pvx4DTYI1F,
Tue Nov 04 04:51:32 +0000 2014,@DonnieN42,@DickieV He's like Bill Murray on Space Jam. "I don't play D".,
Tue Nov 04 04:51:31 +0000 2014,@lindyweber,RT @jdharm: Bill Murray singing Bob Dylan (from "St. Vincent") - https://t.co/ubkUiaaQCl,
Tue Nov 04 04:50:50 +0000 2014,@AngelaDillon,Being Bill Murray http://t.co/wnpRW3SyNg via @rollingstone #goodstuff,
Tue Nov 04 04:46:07 +0000 2014,@midgetmuddy,RT @VH1: FACT: The party don't start until Bill Murray walks in--&gt; http://t.co/Ez0AxNDafl http://t.co/O530MGhGtk,
Tue Nov 04 04:45:56 +0000 2014,@midgetmuddy,RT @BehindScenesx: Bill Murray, Dan Aykroyd, and Harold Ramis on the set of Ghostbusters http://t.co/WvieCibFa4,
Tue Nov 04 04:45:48 +0000 2014,@midgetmuddy,RT @KYPhotoArchive: Bill Murray, left, and Harold Ramis during the filming of the movie Stripes at Fort Knox, Ky., Nov. 26, 1980. http://t.,
Tue Nov 04 04:45:44 +0000 2014,@midgetmuddy,RT @BillMurrayAgent: the shoes make the man @aguycalledminty: bill Murray http://t.co/GvFP5vVpge,
Tue Nov 04 04:45:27 +0000 2014,@EmilyBalzer,If Bill Murray and @utleydw had a baby, it would look like Chuck Pagano.,
Tue Nov 04 04:43:41 +0000 2014,@princealbertnow,RT @nigelmaxwell: And best acting honors go to Bill Murray for St Vincent.  @BillMurray @princealbertnow great movie.,
Tue Nov 04 04:39:49 +0000 2014,@frankgamershow,@yugiohtas I was thinking Bill Murray.,
Tue Nov 04 04:38:58 +0000 2014,@Mr_K_Green,http://t.co/S7SlB52M3B,
